"ID","Name","Category","Description","OrgSyncID"
111,"Pre-Law Society","History, Law & Politics","The Pre-Law Society is a club for all students who are interested in going to law school after Xavier. Meetings help prepare/inform students about applying to law school and what the life of a lawyer entails. Meetings typically revolve around a guest speaker or panel of speakers, followed by an informal Q&A session. It is a great opportunity for students who are interested in law school to come, learn, and socialize with other students who hold similar interests.",33280
112,"Pre-Med Student Association","Health & Wellness","Pre-Med Student Association is a club for students interested in pursuing a career in the health professions. Pre-Med Student Association's goal is to unite, educate, and empower future health professionals. They bring in various speakers, provide information about future careers, and provide insight from upperclassmen.",33200
113,"Psi Chi - Psychology Honor Society and Club","Health & Wellness","Psi Chi and Psychology Club are the official clubs of Xavier's Psychology Department. The Psi Chi chapter is an official chapter of the National Honor Society of Psychology. Psychology Club is open to all students of any major or minor in an effort to raise awareness and interest in all fields of psychology.",33393
114,"Public Relations Student Society of America","Business","Public Relations Student Society of America (PRSSA) is an inclusive pre-professional program that exercises career building skills such as networking, personal branding, fundraising, event planning, mentoring, and strategic community outreach.",33404
115,"Rangers","General Interests","The Xavier Rangers selects, educates, and trains US Army Cadets both physically and mentally in order to develop students to be future officers and leaders of character in the United States Army; while instilling the values of citizenship, national and community service, personal responsibility, and a sense of accomplishment.",33449
116,"Resident Student Association","General Interests","The Resident Student Association (RSA) is a subordinate body of the Student Government Association (SGA), representing the issues and concerns specific to students living in University owned housing (Residents) within the SGA and to other campus offices and organizations in the matters affecting the University owned housing and their residents. The mission of RSA is to provide an important forum for the expression of resident issues and concerns; provide community service, educational, and social programming for all residents; recognize the contributions of students, faculty, and staff to the betterment of living in university owned housing, provide residents the opportunity for leadership and community building, maintain good standing affiliation with the National Association of College and University Residence Halls (NACURH), and actively participate in regional and national activities.",39038
119,"Sigma Gamma Rho Sorority Inc.","Identity","Sigma Gamma Rho Sorority, Inc. was created on November 12, 1922 in Indianapolis, Indiana by seven young educators. The group became an incorporated national collegiate sorority on December 30, 1929, when a charter was granted to Alpha chapter at Butler University. It is the mission of Sigma Gamma Rho Sorority to enhance the quality of life for women and their families in the U.S. and globally through community service. Sigma Gamma Rho Sorority's goal is to achieve greater progress in the areas of education, healthcare, and leadership development. Members, affiliates, staff and community partners work to create and support initiatives that align with their vision.",34646
120,"Sign Language Club","Language & Culture","Sign Language Club is a club in which all Xavier students can participate in and either learn about American Sign Language or enhance and continue to develop their current skills. Additionally, Xavier Sign Language Club strives to plan, develop, and host events on Xavier's campus in conjunction with the Deaf community in Cincinnati in attempt to increase awareness and knowledge about Deaf culture.",66117
121,"Spanish Club","Language & Culture","The purpose of Xavier University Spanish Club is to serve as an extension of the classroom for those students who are learning Spanish, as well as for those native speakers who are learning English. Spanish Club's goals and objectives are to promote interest in the Hispanic literature and culture, and to sponsor social and cultural events, speakers, concerts, and films to increase intercultural understanding.",33305
122,"Student Activities Council","General Interests","The Student Activities Council (SAC) is the campus programming, or event planning, board made of 31 dedicated students.  SAC strives to provide meaningful and enjoyable social, cultural, and educational programs that appeal to the widest group of students possible and are accessible for all students.  Traditional SAC events include: Muskies After Dark, Late Night Movies, Boat Dance, Mr. Muskie, Late Night Snacks, Free Rides, WEBN Fireworks, Oktoberfest, Taste of Cincinnati Night, and Ski Trip.",33364
123,"Student Alumni Association","General Interests","The Xavier University Student Alumni Association (SAA) is committed to spreading awareness of the importance of philanthropy, strengthening the bond between students and alumni, and creating a community that nurtures the communication and mutual appreciation between students and alumni. SAA's vision is to spearhead student philanthropy projects that help to bring campus wide understanding of the importance of service and giving back to the Xavier community in accordance with the Jesuit ideals and education that students and alumni value so highly. As a group, they value giving back not only to the Xavier community, but also the surrounding communities. The Jesuit education teaches us all to live a life of service and solidarity. SAA values the idea of applying these Jesuit teachings back to the community that gave them to us. SAA recognizes and values the importance of staying involved as alumni and hopes to establish a variety of avenues to interact with them.",59532
124,"Student Athlete Advisory Committee","General Interests","Student Athlete Advisory Committee (SAAC) represents the voice of the Xavier varsity student-athlete population. SAAC is responsible for the communication between student-athletes, staff, and faculty. SAAC also coordinates community service initiatives for athletic teams, and runs social and educational programs geared towards the student-athlete population.",57666
125,"Student Government Association","General Interests","The Xavier University Student Government Association (SGA) exists to continuously improve the University and develop all students undergraduate and graduate, part-time and full-time, traditional and nontraditional alike as responsible and involved members and leaders of society. It provides a forum for civic training and student participation in University governance and strives to preserve the rights and freedoms of all students.",32528
127,"Student Nurse Organization","Health & Wellness","The purpose of Student Nurse Organization is to enhance the development of student nurses as professional persons. Club activities are designed to foster nursing students' understanding of the role of the nurse in today's health care system, to encourage participation in community service projects, to facilitate interaction between nursing students and other Xavier Clubs, and to provide a supportive social network for students in the nursing program.",33309
128,"Student Occupational Therapy Association","Health & Wellness","Student Occupational Therapy Association (XUSOTA) is a group formed on the Xavier University campus by the current students enrolled in the occupational therapy program to provide networking opportunities among classmates, a forum for student focus on professional activities, sharing of professional information, participating in service, and the opportunity to become involved in the American Occupational Therapy Association from a student level.",33283
130,"Student Social Work Organization","Health & Wellness","Student Social Work Organization (SSWO) brings awareness and education to the importance of the social work profession while directly increasing the well-being and justice of the community through service.",33323
131,"Student Veterans of Xavier","General Interests","Student Veterans of Xavier seeks to provide military veterans and dependents with the resources, support and advocacy needed to succeed in higher education and following graduation. Student Veterans of Xavier is run out of the Veteran Affairs Office in partnership with Xavier University and Student Veterans of America as another resource for veteran support on campus.",84272
134,"Students For Life","Service & Social Justice","Students For Life seeks to raise awareness of a consistent ethics of life on campus and throughout the community while promoting the basic dignity of the human being at every stage of life.",33423
135,"TEDx Xavier","Business","TEDx Xavier is designed to be a platform to cultivate an innovative ecosystem that puts the Xavier Community at the center of an ongoing effort to design, develop and experiment with new education and support solutions that will help shape future generations of innovators. Key to fulfilling the mission is bringing together the innate diversity of students and faculty in order to create internal value for the Xavier Community, and further create external value for community non-profits.",45810
136,"The Gathering","General Interests","Members of The Gathering play various table-top, card and board games that fit the fantasy genre such as MTG, Dungeons and Dragons (and RPG in general) and Munchkin. All these games have a heavy emphasis on strategy. Some are competitive, but others require players to work together to solve obstacles, puzzles, and problems to achieve a common goal. The members organized various drafts and RPG groups last year. The Gathering also goes to tournaments outside the university to support participating members.",103747
137,"Unified for Uganda","Service & Social Justice","Unified for Uganda (U4U) is a non profit organization that emotionally and financially supports destitute children in Northern Uganda through the empowerment of America's youth.",33258
138,"Voices of Solidarity","Service & Social Justice","Voices of Solidarity (VOS) is a club committed to promoting awareness of social justice issues, especially those related to Latin America. In addition to talking about different current topics, VOS plans cultural events on campus to connect Xavier students with the world outside of Cincinnati.",33403
139,"Women In Business","Business","Xavier Women In Business (XWIB) is aimed at preparing tomorrow's women leaders. Through professional training, personal development workshops, and mentoring and service, XWIB prepares its members for success in their future careers. The professional and social networks provides a stage for individuals to discover their potentials and build upon them for the benefit of society. XWIB's motto is \" Seeking the good of those we serve.\"",33244
140,"Women's Club Lacrosse","Club Sports","Xavier Women's Lacrosse is an organization that is focused on keeping active, the formation of a team bond, and continuing to play a sport they love. Xavier Women's Lacrosse is able to play lacrosse on a competitive level while maintaining strong grades in the classroom.",38298
141,"Women's Club Soccer","Club Sports","Women's Club Soccer (XUWCS) is dedicated to providing those interested with the opportunity to play soccer at a semi-competitive level. They practice twice a week during the fall and have games almost every weekend until the end of October. XUWCS also participates in an indoor league during the winter and has practice and friendly games in the spring.",38373
142,"Women's Club Ultimate Frisbee","Club Sports","Women's Club Ultimate Frisbee is a competitive, intercollegiate ultimate frisbee team on Xavier's campus. Women's Club Ultimate Frisbee aims to provide a welcoming environment as a competitive team within the Cincinnati ultimate community and throughout the midwest. The club strives to provide athletes with an opportunity to improve themselves athletically, socially, and mentally, as it focuses on sportsmanship and community.",114208
143,"Women's Club Volleyball","Club Sports","Women's Club Volleyball accepts anyone who loves playing volleyball, wants to continue their high school volleyball experience, and wants to make friends with those who have similar interests. Women's Club Volleyball loves having fun playing competitive volleyball.",36699
144,"Xavier Cheerleading & Mascots","General Interests","Squad members of Xavier Cheerleading & Mascots consist of males and females that cheer at all home men's and women's Basketball games, Big East, and NCAA tournaments. Responsibilities include: travel to conference tournaments, fundraising, and special appearances. Members are selected through a tryout process.",54897
146,"Xavier Dance Team","Club Sports","The nationally ranked Xavier University Dance Team is dedicated to improving and promoting school spirit. They pride themselves on representing Xavier University in a positive manner and strive to be the best they can be in the gym and in the classroom. Annually, the Xavier University Dance Team strives to compete at the National Dance Alliance (NDA) National Competition in Daytona Beach, Florida. Each year, the team spends approximately three days competing for the top ten rankings in Division 1. The Dance Team is committed to serving the community in a variety of ways which include the All for One Golf Outing, Relay for Life, Making Strides Against Breast Cancer Walk, Dance Marathon, and other events throughout the year.",38437
149,"Xavier Newswire","Publications & Media","Xavier Newswire is Xavier's weekly campus newspaper that is written and edited by the students of Xavier University. The goal of Xavier Newswire is to inform the campus community, spark conversation, voice student concerns and offer students an outlet to grow as journalists.",38430
157,"Xavier University Television Association","Publications & Media","Xavier University Television Association (XUTVA) is one of the largest and most important media outlets at Xavier University run solely by students. XUTVA provides a weekly news broadcast along with other shows such as a music video show called Brand X and a sketch comedy show called Musk. XUTVA also competes in movie festivals and local 48 hour contests once a semester to channel the creativeness of the club.",33301
158,"Xavier University, One Heart","Health & Wellness","Xavier University, One Heart (XUOH) is an organization that raises awareness of heart disease by means of education, implementing a heart healthy lifestyle, and fundraising.",156495
160,"X-treme Fans","General Interests","X-treme Fans promotes school spirit through participation in supporting Xavier athletic teams.",33431
161,"Yoga and Holistic Awareness Club","Health & Wellness","The purpose of Yoga and Holistic Awareness Club is to direct Xavier students on holistic habits, yoga positions, and breathing techniques. They have weekly one-hour yoga sessions taught by a yoga instructor.",33371
162,"Young Americans for Liberty","History, Law & Politics","Young Americans for Liberty is a classically liberal and traditionally conservative. Young Americans for Liberty believes in ending corporate welfare, low taxes, free markets, private charity, peaceful & diplomatic foreign policy, ending the drug war, stopping the NSA and government surveillance, and the protection of civil liberties.",67361
166,"4 Paws for Ability at XU","General Interests","4 Paws for Ability at XU is a chapter of the primary organization 4 Paws for Ability, located in Xenia, Ohio. The main focus of Puppy Raisers and Babysitters is to socialize 4 Paws Service Dogs in Training (SDIT) and to get them used to anything and everything they may come across in everyday life - new places, sounds, sights, smells, people, children, etc. Anyone can join the club to learn about service dogs, fostering/babysitting, and experiencing some canine love!",173056
169,"BRAVE: Gender-Based Violence Prevention","Service & Social Justice","Brave Peer Educators are XU student leaders who are trained to facilitate gender-based violence prevention workshops to their peers. Brave workshops empower students to create a culture that is committed to ensuring the dignity and worth of all members of the community and cultivating a culture of respect and responsibility.",169905
172,"Clocktower Review","Publications & Media","The Clocktower Review is Xavier's semesterly literary and art magazine. We publish poetry, prose, and art created by Xavier students as a way to try and foster a creative culture on Xavier's campus.",33430
175,"Men's Club Squash","Club Sports","We are the Xavier Men's Squash Team established in 2017. We are a new team with a lot of potential. Squash is an indoor racquet sport that requires endurance and hand eye coordination. The team is made up of players from every grade level and we are always open to new players joining.",167458
178,"Community of Engineers","STEM","Our club is dedicated to promoting interest in the field of Engineering by exposing students to projects, activities, and events related to a future career in Engineering. Additionally, we want to make a space for students outside of class to get to know each other better, especially those in the Engineering Department.",156187
181,"Harmon-X","Arts","",33096
184,"Hispanic Organization and LatinX Awareness","Identity","The Hispanic Organization and LatinX Awareness (HOLA) is a cultural club at Xavier University. HOLA hosts many events throughout the year to inform the Xavier community about Latinx/Hispanic issues, shares cultural holidays and celebrations from Latin America and Spain, and fundraises and provides community service around the Cincinnati area.",33411
187,"Human Resources Club","Business","The purpose of Xavier University's HR Club is to provide a wide variety of experiences to students that will allow them to expand their knowledge and skills to become HR Professionals in the future, aligning with the Jesuit Tradition. From company visits to professional speakers and many more, our club introduces it's members to real world business experiences. XU HR Club is open and highly recommended for ANY AND ALL majors to join. We look forward to seeing you at one of our future meetings.",169703
190,"Institute for Healthcare Improvement Chapter","Health Professions","The Institute for Healthcare Improvement is a world-wide organization geared to improving healthcare around the world. The Xavier Chapter is geared towards learning and assisting young healthcare professionals during their undergraduate career. We aim to conduct quality improvement projects around the Xavier campus and discuss greater issues we see in the United States Healthcare system. 

The IHI mission and vision statements are;
Our vision: Everyone has the best care and health possible.

Our mission: Improve health and health care worldwide.",169600
193,"Invisible Disabilities Club","Service & Social Justice","True to the Xavier University mission, this club will serve as a facilitator to promote moral, spiritual, and intellectual support for individuals who are afflicted by a disability that may not be easily perceived by others. This club will encourage the entire Xavier University community to stand for the academic and emotional success of this particular group of students. The group of disabilities envisioned includes but is not limited to mental health, chronic pain, learning disabilities, neurological conditions, autoimmune disorders, chronic fatigue, etc.",169599
196,"Kappa Alpha Psi Fraternity, Incorporated","Identity","Kappa Alpha Psi is the 2nd oldest existing collegiate historically Black Greek Letter Fraternity and the 1st intercollegiate Fraternity incorporated as a national body.  It remains the only Greek letter organization with its Alpha Chapter on Indiana University's campus.  The Fraternity has over 125,000 members with 700 undergraduate and alumni chapters in nearly every state of the United States, and international chapters in Nigeria, South Africa, the West Indies, the United Kingdom, Germany, Korea and Japan.",169408
199,"MuskieTHON","Service & Social Justice","Xavier University's MuskieTHON is a philanthropic group dedicated to raising money and awareness for Cincinnati Children's Hospital Medical Center. Each year, the club hosts several events where students work to fundraise for Cincinnati Children's Hospital. The group highlights their fundraising efforts at their signature event 'Dance Marathon.' This event celebrates the fundraising efforts by dancing, participating in games, and listening to the stories of the families who they have worked hard to help.",33415
205,"Pre-Vet Society","Health Professions","The Xavier University Pre-Vet Society is a club for Xavier students interested in veterinary medicine or animals in general.",169582
211,"Singers","Arts","Xavier University Singers is a student run, auditioned performance group comprised of around 15-20 students from all majors and class levels. The students work rigorously to put on 1-2 shows each semester. Shows consist of dancing, comedy, and, of course, a whole lot of singing. All routines are expertly choreographed and accompanied by a  live band of Xavier students. The song repertoire consists of selections from traditional Broadway Musicals, Vocal Jazz, Pop, Rock, and even Country. Recent shows have included a college themed show, as well as a show about selling-out (Advertisements, but also musicians selling out). Keeping involved, the group stays active with various fundraising and events.",130704
214,"Sports Business Club","Business","Xavier Sports Business Club's goal is to open up opportunities for students to see many avenues they can explore while still in school and to provide the proper tools, resources and skills to make the most of their education and experiences in order to pursue and excel their career in sport.",103708
217,"Sports Medicine Club","Health Professions","Xavier Sports Medicine Club is a club for anyone in a healthcare or exercise science major that is interested in working in the Sports Medicine field. Xavier Sports Medicine Club uses guest speakers and workshops to further the knowledge of the professions offered within the field of Sports Medicine. They also hold club events with professionals within the Sports Medicine field and student members to build stronger relationships among those that are interested or pursuing careers in the Sports Medicine field.",34377
220,"Xavier Student Sustainability","Service & Social Justice","Xavier Student Sustainability works under and is supported by the Dorothy Day Center for Faith and Justice. XSS seeks to promote environmental sustainability on campus through action and education.",33110
223,"Student Wellness Advocacy Group","Wellness","Xavier Student Wellness Advocacy Group (SWAG) is the Xavier University Chapter of The BACCHUS Network, a national organization that focuses on college health and safety issues. SWAG develops and facilitates prevention education programming on the critical wellness issues of sexual health, interpersonal relationships, gender identity, and alcohol and/or drug use using a bystander intervention model. SWAG creates dialogue among peers that will positively impact attitudes and behavior; and engage students in meaningful opportunities to create a healthy campus community that supports student success. SWAG encourages the intellectual, moral, and spiritual growth of participants.",97183
227,"Climbing Club","General Interests","This club rooted in the love of rock climbing as a sport and activity. Climbing club believes that rock climbing is an activity that everyone can participate in and love.  Climbing club believes that climbing develops the whole self: it forces you to exert yourself physically, mentally, and even socially.  ",0
230,"EmpowerXU","Wellness","The mission of EmpowerXU is to engage the Xavier campus and our communities, empower them to dismantle systemic power-based violence, and create an environment that supports survivors of sexual violence.",0
233,"Girl Up XU","Service & Social Justice","Girl Up XU is a group of individuals who all share the same mission and goal of igniting a passion for change towards a better world through our actions, discussions, and shared experiences and knowledge in the club. We strive to advocate for girls locally and worldwide in the classroom, workplace, and in everyday life.",0
236,"Italian Club","Language & Culture","The purpose of Italian Club is to explore and appreciate Italian culture.",0
260,"Kappa Delta Pi","Education","Kappa Delta Pi (KDP) is an international honors society for education students.",0
263,"Network of Enlightened Women","General Interests","Network of enlightened Women is a national organization dedicated to building a community among conservative women and promoting intellectual diversity on college campuses. Specifically to Xavier, the club aims to create an atmosphere where women of similar values can come together and discuss their beliefs over book discussions, arts and crafts and other enriching activities.",0
266,"Powerlifting","Club Sports","Our mission is to provide an entertaining, educational, friendly and inviting, functional and innovative experience of uncompromising quality that helps to meet the health and fitness needs of Xavier students through strength training.",0
269,"TriBeta - Xi Delta Epsilon Chapter","STEM","The purpose of Beta Beta Beta Biological Honor Society shall be to function as an honor and professional society for students of the biological sciences. ",0
272,"Women's Club Squash","Club Sports","Women's Club Squash is a competitive team that strives to create an open environment to share the sport of squash and promote an active lifestyle.",0
275,"Xavier ABSN Student Advisory","Health Professions","The ABSN student advisory is committed to creating a thriving, productive student body through the free exchange of ideas with faculty, co-creating solutions, providing networking opportunities, and strengthening the legacy of the program through the power of community.",0
278,"Xavier Socialists","History, Law & Politics","Our primary mission is to foster discussion around socialism and socialist ideas on Xavier's campus. ",0
281,"XUFM","Publications & Media","We are a professional group of students looking to serve the Xavier community through music, the arts, communication, and promotional services. As a student run radio organization our focus is to foster a musically diverse and more informed environment for the student body. Our shows will enable listeners to learn more about various types of music, understand different cultures, and help them broaden their interests and abilities to become a more well- rounded individual.",0
287,"Spikeball Group","Club Sports","Some say that if volleyball and foursquare had a baby it'd be named Spikeball. We like to say we're building the next great American sport.",0
